广东电信,#genre#
CCTV -1综合高清,rtsp://183.59.160.61/PLTV/88888888/224/3221229774/10000100000000060000000008842383_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EAMfd1_YTqECH7lV9tX1FFQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C10000100000000050000000004863067%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008842383_0%2CEND&GuardEncType=2
CCTV -2财经高清,rtsp://183.59.160.61/PLTV/88888888/224/3221229763/10000100000000060000000008839684_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Exdzud9aP2RuDxms7fdJJaQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C10000100000000050000000004860651%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008839684_0%2CEND&GuardEncType=2
CCTV -7军事农业高清,rtsp://183.59.160.61/PLTV/88888888/224/3221229730/10000100000000060000000008839665_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoS3i3r7XsLmktMNRZRKFxg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C10000100000000050000000004860641%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008839665_0%2CEND&GuardEncType=2
CCTV-10科教高清,rtsp://183.59.160.61/PLTV/88888888/224/3221229756/10000100000000060000000008839531_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ExJoCDOe37e9rGpKT6I1Ddw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C10000100000000050000000004860549%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008839531_0%2CEND&GuardEncType=2
广东卫视,rtsp://183.59.160.61/PLTV/88888905/224/3221226963/00000100000000060000000000554901_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EZWMmVsF-1GsI-O677zulTQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000001%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554901_0%2CEND&GuardEncType=2
广东珠江,rtsp://183.59.160.61/PLTV/88888905/224/3221227004/00000100000000060000000000554900_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EnOf8B9_UOjkj70mhtvL_Zg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000002%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554900_0%2CEND&GuardEncType=2
广东新闻,rtsp://183.59.160.61/PLTV/88888905/224/3221226969/00000100000000060000000000554905_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E7Wi5flTsdlnuojIiKtOmwA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000005%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554905_0%2CEND&GuardEncType=2
广东民生,rtsp://183.59.160.61/PLTV/88888905/224/3221226931/00000100000000060000000000554902_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EorPCY-w2DNEiG4p8RRUnfw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000004%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554902_0%2CEND&GuardEncType=2
广东体育,rtsp://183.59.160.61/PLTV/88888905/224/3221226934/00000100000000060000000000554903_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ey_55jYgGvo0qi-P3kFTltA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000003%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554903_0%2CEND&GuardEncType=2
经济科教,rtsp://183.59.160.61/PLTV/88888905/224/3221227007/00000100000000060000000000554908_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ev-aieTJj3ZTA5UGYYMEYTQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000008%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554908_0%2CEND&GuardEncType=2
大湾区卫视,rtsp://183.59.160.61/PLTV/88888905/224/3221226975/00000100000000060000000000554907_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EXpyXUMT5z43uh7WvmAQ0Yg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000009%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554907_0%2CEND&GuardEncType=2
广东影视,rtsp://183.59.160.61/PLTV/88888905/224/3221226937/00000100000000060000000000554910_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EGCEs10TQ6ya3F6vyYvnazg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000011%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554910_0%2CEND&GuardEncType=2
广东少儿,rtsp://183.59.160.61/PLTV/88888905/224/3221226989/00000100000000060000000000554886_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ez3z2e-78q8eW9WVDgijxPg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000012%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554886_0%2CEND&GuardEncType=2
嘉佳卡通,rtsp://183.59.160.61/PLTV/88888905/224/3221226972/00000100000000060000000000554906_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E_3jPJfQgFF0qgWEK4zNXgQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000006%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C00000100000000060000000000554906_0%2CEND&GuardEncType=2
广东4K超高清,rtsp://183.59.160.61/PLTV/88888905/224/3221229717/10000100000000060000000008643415_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ERADh4hieUGCNdNMPDEDsJw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000006000000052017112999000001%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008643415_0%2CEND&GuardEncType=2
广东4K超高清 宽色域,rtsp://183.59.160.61/PLTV/88888905/224/3221229726/10000100000000060000000008690808_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EhxKAdNklK8IKp5gyBkUfLw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000006000000052017120899000001%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008690808_0%2CEND&GuardEncType=2
广东4K超高清 窄色域 30,rtsp://183.59.160.61/PLTV/88888905/224/3221229713/10000100000000060000000008646185_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJ0zWCbTPbymW8NL3O3GruA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000006000000052017120499000001%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008646185_0%2CEND&GuardEncType=2
南方购物-精选,rtsp://183.59.160.61/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ENDKdzEbwG2uWW6AskdLAmg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000382%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990026_0%2CEND&GuardEncType=2
广东4K超高清 宽色域AVS2,rtsp://183.59.160.61/PLTV/88888905/224/3221229712/10000100000000060000000008796229_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EA-KPqmb9lXkt5USi1Knerg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000006000000052018012499000001%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008796229_0%2CEND&GuardEncType=2
广东移动,rtsp://183.59.160.61/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EVb8-2S-6AKeMAFhv98MVQA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000387%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000987164_0%2CEND&GuardEncType=2
南方购物,rtsp://183.59.160.61/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EMF-Mtg59QFua_7gpd56hOA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000389%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000987154_0%2CEND&GuardEncType=2
岭南戏曲,rtsp://183.59.160.61/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EYsKROw2rZlJes0VUN3WYFg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000385%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990089_0%2CEND&GuardEncType=2
现代教育,rtsp://183.59.160.61/PLTV/88888905/224/3221227233/10000100000000060000000000990060_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ErpnAWPzVSGsDYusX2iDFVw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000381%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990060_0%2CEND&GuardEncType=2
